1,0,-124,56,-999             
0,1,112,24,-999              
1,1,-128,48,-999             
0,2,108,28,-999              
1,2,-120,52,-999             
0,3,108,28,-999              
0,4,104,28,-999              
0,4,112,28,-999              
1,4,-128,52,-999             
0,5,104,20,-999              
0,6,108,20,-999              
0,7,116,28,-999              
1,7,-124,44,-956             
0,8,108,28,-999              
0,9,112,28,-999              
0,9,108,20,-999              
1,9,-124,56,-999             
0,10,112,20,-999             
0,11,108,24,-999             
1,12,-128,56,-999            
0,13,100,24,-999             
1,13,-124,56,-999            
0,13,104,28,-999             
0,14,100,24,-999             
1,14,-128,56,-999            
0,15,108,32,-999             
0,16,108,28,-999             
0,17,104,24,-999             
0,18,112,20,-999             
1,18,-124,52,-999            
0,18,108,20,-999             
0,19,104,28,-999             
0,20,124,24,-999             
1,20,-120,52,-984            
0,21,108,24,-999             
0,22,108,32,-999             
0,23,108,20,-999             
1,23,-124,60,-999            
0,23,108,28,-999             
0,24,116,24,-999             
0,25,116,32,-999             
1,25,-128,52,-996            
0,26,112,24,-999             
0,27,104,24,-999             
0,28,108,20,-999             
1,28,-124,64,-999            
0,28,108,24,-999             
1,29,-120,52,-999            
0,30,112,28,-999             
1,30,-128,56,-999            
0,31,104,24,-999             
0,32,108,24,-999             
0,32,116,24,-999             
0,33,108,28,-999             
1,33,-124,52,-999            
0,34,100,24,-999             
0,35,108,28,-999             
0,36,116,24,-999             
1,36,-120,48,-999            
